Model,Producent,Data produkcji,Moc WiFi,Moc Ethernetu,Liczba gniazd Ethernet,Rodzaj sygnału WiFi,Obsługa 5G,Wersja firmware,Maksymalna przepustowość WiFi,Maksymalna przepustowość Ethernet,Lista funkcji
Linksys WRT54G,Linksys,2005,18 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,5.10.41,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT54G,Linksys,2006,15 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,6.4.60,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT54G,Linksys,2007,18 dBm,100 Mbps,4,"802.11n, Single Band 2.4 GHz",Nie,7.7.16,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT54G,Linksys,2008,18 dBm,1 Gbps,4,"802.11n, Single Band 2.4 GHz",Nie,8.2.71,300 Mbps,1 Gbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT54G,Linksys,2009,20 dBm,100 Mbps,4,"802.11n, Single Band 2.4 GHz",Nie,9.6.45,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT54G,Linksys,2010,20 dBm,100 Mbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,10.3.24,600 Mbps,100 Mbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT54G,Linksys,2011,18 dBm,100 Mbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,11.5.75,450 Mbps,100 Mbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT54G,Linksys,2012,20 dBm,1 Gbps,5,"802.11n, Single Band 2.4 GHz",Nie,12.0.35,450 Mbps,1 Gbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT54G,Linksys,2013,20 dBm,1 Gbps,4,"802.11ac, Dual Band (2.4/5 GHz)",Tak,13.0.3,1750 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54G,Linksys,2014,20 dBm,1 Gbps,4,"802.11ac, Dual Band (2.4/5 GHz)",Tak,14.12.27,1900 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54G,Linksys,2015,23 dBm,1 Gbps,5,"802.11ac, Dual Band (2.4/5 GHz)",Tak,15.10.90,1750 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54G,Linksys,2016,25 dBm,1 Gbps,4,"802.11ac, Tri-Band (2.4/5/5 GHz)",Tak,16.8.79,1900 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54G,Linksys,2017,25 dBm,1 Gbps,8,"802.11ax (WiFi 6), Dual Band (2.4/5 GHz)",Tak,17.0.56,3000 Mbps,1 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54G,Linksys,2018,27 dBm,2.5 Gbps,8,"802.11ac Wave 2, Dual Band (2.4/5 GHz)",Tak,18.2.78,5400 Mbps,2.5 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54G,Linksys,2019,23 dBm,1 Gbps,4,"802.11ac Wave 2, Tri-Band (2.4/5/5 GHz)",Tak,19.6.32,2600 Mbps,1 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54G,Linksys,2020,25 dBm,2.5 Gbps,4,"802.11ac Wave 2, Dual Band (2.4/5 GHz)",Tak,20.11.69,5400 Mbps,2.5 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54G,Linksys,2021,25 dBm,1 Gbps,5,"802.11ax (WiFi 6), Tri-Band (2.4/5/6 GHz)",Tak,21.4.18,10800 Mbps,1 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
